키워드,주식명,연령대,성별
여행,대한항공,20e,F
여행,한진칼,20e,F
여행,제주항공,20e,F
여행,롯데관광개발,20e,F
여행,아시아나항공,20e,F
여행,하나투어,20e,F
여행,진에어,20e,F
여행,모두투어,20e,F
여행,AK홀딩스,20e,F
여행,노랑풍선,20e,F
여행,대한항공,20e,M
여행,한진칼,20e,M
여행,제주항공,20e,M
여행,롯데관광개발,20e,M
여행,아시아나항공,20e,M
여행,하나투어,20e,M
여행,진에어,20e,M
여행,모두투어,20e,M
여행,AK홀딩스,20e,M
여행,노랑풍선,20e,M
대중교통,동양고속,20s,F
대중교통,AJ렌터카,20s,F
대중교통,천일고속,20s,F
대중교통,AJ네트웍스,20s,F
대중교통,레드캡투어,20s,F
대중교통,에이텍모빌리티,20s,F
대중교통,아톤,20s,F
대중교통,갤럭시아머니트리,20s,F
대중교통,알티캐스트,20s,F
대중교통,한국석유,20s,F
편의점,롯데지주,20s,M
편의점,BGF리테일,20s,M
편의점,GS리테일,20s,M
편의점,이마트,20s,M
편의점,유성티엔에스,20s,M
편의점,롯데쇼핑,20s,M
편의점,CJ ENM,20s,M
편의점,태광산엄,20s,M
편의점,현대홈쇼핑,20s,M
편의점,CJ대한통운,20s,M
여행,대한항공,30e,F
여행,한진칼,30e,F
여행,제주항공,30e,F
여행,롯데관광개발,30e,F
여행,아시아나항공,30e,F
여행,하나투어,30e,F
여행,진에어,30e,F
여행,모두투어,30e,F
여행,AK홀딩스,30e,F
여행,노랑풍선,30e,F
여행,대한항공,30e,M
여행,한진칼,30e,M
여행,제주항공,30e,M
여행,롯데관광개발,30e,M
여행,아시아나항공,30e,M
여행,하나투어,30e,M
여행,진에어,30e,M
여행,모두투어,30e,M
여행,AK홀딩스,30e,M
여행,노랑풍선,30e,M
여행,대한항공,30s,F
여행,한진칼,30s,F
여행,제주항공,30s,F
여행,롯데관광개발,30s,F
여행,아시아나항공,30s,F
여행,하나투어,30s,F
여행,진에어,30s,F
여행,모두투어,30s,F
여행,AK홀딩스,30s,F
여행,노랑풍선,30s,F
여행,대한항공,30s,M
여행,한진칼,30s,M
여행,제주항공,30s,M
여행,롯데관광개발,30s,M
여행,아시아나항공,30s,M
여행,하나투어,30s,M
여행,진에어,30s,M
여행,모두투어,30s,M
여행,AK홀딩스,30s,M
여행,노랑풍선,30s,M
여행,대한항공,40e,F
여행,한진칼,40e,F
여행,제주항공,40e,F
여행,롯데관광개발,40e,F
여행,아시아나항공,40e,F
여행,하나투어,40e,F
여행,진에어,40e,F
여행,모두투어,40e,F
여행,AK홀딩스,40e,F
여행,노랑풍선,40e,F
여행,대한항공,40e,M
여행,한진칼,40e,M
여행,제주항공,40e,M
여행,롯데관광개발,40e,M
여행,아시아나항공,40e,M
여행,하나투어,40e,M
여행,진에어,40e,M
여행,모두투어,40e,M
여행,AK홀딩스,40e,M
여행,노랑풍선,40e,M
여행,대한항공,40s,F
여행,한진칼,40s,F
여행,제주항공,40s,F
여행,롯데관광개발,40s,F
여행,아시아나항공,40s,F
여행,하나투어,40s,F
여행,진에어,40s,F
여행,모두투어,40s,F
여행,AK홀딩스,40s,F
여행,노랑풍선,40s,F
여행,대한항공,40s,M
여행,한진칼,40s,M
여행,제주항공,40s,M
여행,롯데관광개발,40s,M
여행,아시아나항공,40s,M
여행,하나투어,40s,M
여행,진에어,40s,M
여행,모두투어,40s,M
여행,AK홀딩스,40s,M
여행,노랑풍선,40s,M
여행,대한항공,50e,F
여행,한진칼,50e,F
여행,제주항공,50e,F
여행,롯데관광개발,50e,F
여행,아시아나항공,50e,F
여행,하나투어,50e,F
여행,진에어,50e,F
여행,모두투어,50e,F
여행,AK홀딩스,50e,F
여행,노랑풍선,50e,F
연료,LG화학,50e,M
연료,SK이노베이션,50e,M
연료,S-Oil,50e,M
연료,롯데케미칼,50e,M
연료,롯데정밀화학,50e,M
연료,대한유화,50e,M
연료,효성화학,50e,M
연료,한국석유,50e,M
연료,중앙에너비스,50e,M
연료,흥구석유,50e,M
여행,대한항공,50s,F
여행,한진칼,50s,F
여행,제주항공,50s,F
여행,롯데관광개발,50s,F
여행,아시아나항공,50s,F
여행,하나투어,50s,F
여행,진에어,50s,F
여행,모두투어,50s,F
여행,AK홀딩스,50s,F
여행,노랑풍선,50s,F
여행,대한항공,50s,M
여행,한진칼,50s,M
여행,제주항공,50s,M
여행,롯데관광개발,50s,M
여행,아시아나항공,50s,M
여행,하나투어,50s,M
여행,진에어,50s,M
여행,모두투어,50s,M
여행,AK홀딩스,50s,M
여행,노랑풍선,50s,M
의료,삼성바이오로직스,60e,F
의료,셀트리온,60e,F
의료,셀트리온헬스케어,60e,F
의료,한올바이오파마,60e,F
의료,녹십자,60e,F
의료,메지온,60e,F
의료,에이비엘바이오,60e,F
의료,신라젠,60e,F
의료,동아에스티,60e,F
의료,제테마,60e,F
연료,LG화학,60e,M
연료,SK이노베이션,60e,M
연료,S-Oil,60e,M
연료,롯데케미칼,60e,M
연료,롯데정밀화학,60e,M
연료,대한유화,60e,M
연료,효성화학,60e,M
연료,한국석유,60e,M
연료,중앙에너비스,60e,M
연료,흥구석유,60e,M
여행,대한항공,60s,F
여행,한진칼,60s,F
여행,제주항공,60s,F
여행,롯데관광개발,60s,F
여행,아시아나항공,60s,F
여행,하나투어,60s,F
여행,진에어,60s,F
여행,모두투어,60s,F
여행,AK홀딩스,60s,F
여행,노랑풍선,60s,F
연료,LG화학,60s,M
연료,SK이노베이션,60s,M
연료,S-Oil,60s,M
연료,롯데케미칼,60s,M
연료,롯데정밀화학,60s,M
연료,대한유화,60s,M
연료,효성화학,60s,M
연료,한국석유,60s,M
연료,중앙에너비스,60s,M
연료,흥구석유,60s,M
